experiment_id,question_id,question,expected_answerable,chunk_size,chunk_overlap,top_k,prompt_version,rag_answer,retrieved_chunk_ids,retrieved_similarities,highest_similarity,mean_similarity,lowest_similarity,retrieval_seconds,generation_seconds,total_seconds,retrieved_character_count,answer_character_count,correctness,groundedness,retrieval_hit,hallucination_handling,review_notes
baseline,11,How does CSV differ from JSON when storing structured data?,True,1000,200,3,strict,"CSV is simple but has issues with special characters and metadata, while JSON is easier to parse and suitable for data exchange between users and servers.  

[chunk_0008]","[""chunk_0007"", ""chunk_0008"", ""chunk_0005""]","[0.75581495, 0.74182274, 0.63078092]",0.7558149540118572,0.709472871581229,0.6307809164316025,0.0183481250001023,1.3567077090001476,1.375182415999916,2816,170,,,,,
baseline,12,Why might an organization transform unstructured data before analysis?,True,1000,200,3,strict,"An organization might transform unstructured data into a structured format to enable systematic analysis. This transformation allows for consistent fields and tabular organization, making it easier to compare attributes across records. For example, free-form searches can be reduced to a keyword and timestamp, preserving structure while maintaining nuance. This process aligns with the goal of systematic analysis, as structured data is often more manageable for such tasks.  

[chunk_0005]  
[chunk_0001]","[""chunk_0006"", ""chunk_0005"", ""chunk_0001""]","[0.69590111, 0.62609894, 0.57277076]",0.6959011145066134,0.6315902724436578,0.5727707586403142,0.020898792000025423,1.3602209999999104,1.3812701669999115,2736,506,,,,,
baseline,13,Why has data become increasingly important across modern industries?,True,1000,200,3,strict,"Data has become increasingly important across modern industries due to the expansion of digital data, computing capacity, and technology. As these factors grew, there was a surge in the availability and complexity of datasets, driving the need for advanced analysis and data science. This growth has made data science essential for making informed decisions and driving innovation in fields like business, healthcare, and entertainment.","[""chunk_0001"", ""chunk_0000"", ""chunk_0006""]","[0.73942014, 0.62160581, 0.58201802]",0.7394201411656056,0.6476813245712835,0.5820180245054932,0.02045745799978249,1.25627274999988,1.276790500000061,2802,436,,,,,
baseline,14,Does this section explain how cosine similarity is calculated?,False,1000,200,3,strict,The section does not explain how cosine similarity is calculated.,"[""chunk_0008"", ""chunk_0005"", ""chunk_0000""]","[0.58664413, 0.54904857, 0.54617844]",0.586644131770752,0.560623712350854,0.5461784394608011,0.019030500000098982,0.8937880000003133,0.91291983300016,2779,65,,,,,
baseline,15,Does this section explain how transformer neural networks generate embeddings?,False,1000,200,3,strict,"The section does not explain how transformer neural networks generate embeddings. [chunk_0004] mentions data types, datasets, and attributes, but does not address transformer embeddings.","[""chunk_0008"", ""chunk_0004"", ""chunk_0000""]","[0.60553688, 0.50440158, 0.50036708]",0.605536883284049,0.536768514092694,0.5003670831112432,0.01899779099994703,1.100664333000168,1.1197217500002807,2835,186,,,,,
smaller_chunks,1,What is the difference between a datum and data?,True,600,100,3,strict,"The difference between a datum and data is that a datum refers to a singular unit (e.g., a single value, observation, or point of reference), while data refers to multiple observations. For example, in a dataset, a datum could be a single rating, whereas data includes multiple such ratings. This distinction is explicitly stated in [chunk_0002].","[""chunk_0002"", ""chunk_0003"", ""chunk_0007""]","[0.77527643, 0.69977916, 0.67281099]",0.7752764306775413,0.7159555270684592,0.6728109871914177,0.01834754099991187,1.4789556250002533,1.4974240000001373,1653,346,,,,,
smaller_chunks,2,How does the textbook define a dataset?,True,600,100,3,strict,"The textbook defines a dataset as a collection of observations or data entities. In a tabular dataset, a row represents a unique entity, and a column represents an attribute. [chunk_0000]","[""chunk_0007"", ""chunk_0003"", ""chunk_0000""]","[0.76515061, 0.70946106, 0.69235007]",0.7651506147707382,0.7223205808314277,0.692350072216081,0.02102866699988226,1.2092403749998084,1.2303300000003219,1626,187,,,,,
smaller_chunks,3,What is the difference between structured and unstructured data?,True,600,100,3,strict,"Structured data has a predefined schema with consistent attributes and relationships, while unstructured data lacks a fixed structure. Structured data is easier to analyze because of its consistent fields, allowing tools to compare attributes across records. Unstructured data, like free-form text, requires transformation into a structured format (e.g., CSV) for systematic analysis, but this process may lose nuance.  

[chunk_0009]  
[chunk_0010]","[""chunk_0009"", ""chunk_0010"", ""chunk_0011""]","[0.87067589, 0.72261961, 0.72050551]",0.8706758891270614,0.7712670022677962,0.7205055102698275,0.019063582999933715,1.502362666999943,1.5215806669998528,1670,449,,,,,
smaller_chunks,4,What characteristics make a dataset structured?,True,600,100,3,strict,"A dataset is structured if it uses a predefined, consistent organization with entities having the same attributes and relationships, and each entity follows the same set of attributes. This structure ensures that values fit neatly into rows and columns, as seen in the example of a jacket table with Date, Temperature, and Needed a Jacket.  

[chunk_0009]  
[chunk_0008]","[""chunk_0009"", ""chunk_0007"", ""chunk_0008""]","[0.77874, 0.73875355, 0.72475057]",0.7787399985059911,0.7474147040444729,0.7247505679923811,0.02107958399983545,1.3236828750000313,1.344906791000085,1716,370,,,,,
smaller_chunks,5,What are examples of unstructured datasets mentioned in the section?,True,600,100,3,strict,"The examples of unstructured datasets mentioned in the section are:  
[product reviews on Amazon, Twitter posts, Instagram images, TikTok videos, free-form web search phrases].","[""chunk_0009"", ""chunk_0011"", ""chunk_0010""]","[0.77942185, 0.73432331, 0.69846376]",0.7794218488446529,0.7374029727767537,0.6984637582245401,0.02014637499996752,1.1993148750002547,1.2195181249999223,1670,176,,,,,
smaller_chunks,6,What is the difference between an item or entity and an attribute in a dataset?,True,600,100,3,strict,"The difference between an item or entity and an attribute in a dataset is that an entity is the thing or observation being described, while an attribute is a property used to describe it. This distinction is explicitly stated in [chunk_0008].","[""chunk_0007"", ""chunk_0008"", ""chunk_0014""]","[0.81290364, 0.79348312, 0.68453363]",0.8129036418505553,0.7636401297667028,0.6845336287331212,0.018755624999812426,1.2297222919996784,1.2485345000000052,1704,242,,,,,
smaller_chunks,7,Why is temperature considered continuous numeric data in the jacket example?,True,600,100,3,strict,"Temperature is considered continuous numeric data because it is a thermometer measurement with units, allowing for any real-number value within the measurement context (chunk 0006).","[""chunk_0004"", ""chunk_0006"", ""chunk_0005""]","[0.69959025, 0.68865501, 0.65382343]",0.6995902473803054,0.680689563123673,0.6538234315930875,0.02041020899969226,1.4385982500002683,1.4591637089997676,1691,181,,,,,
smaller_chunks,8,Why is the “Needed a Jacket?” column considered categorical nominal data?,True,600,100,3,strict,"The ""Needed a Jacket?"" column is considered categorical nominal data because its values (Yes/No) come from a finite set of labels with no inherent natural ordering, and these labels do not have a ranking or order. [chunk_0006]","[""chunk_0007"", ""chunk_0006"", ""chunk_0004""]","[0.75595436, 0.69485335, 0.69025268]",0.7559543566828745,0.7136867956448798,0.690252676960365,0.021138832999895385,1.3812305000001288,1.4025087909999456,1698,226,,,,,
smaller_chunks,9,Why can structured data be easier to analyze than unstructured data?,True,600,100,3,strict,"Structured data is easier to analyze because its consistent fields and tabular organization allow tools to compare the same attributes across records, enabling systematic analysis. [chunk_0009]","[""chunk_0009"", ""chunk_0010"", ""chunk_0011""]","[0.78342249, 0.75976885, 0.72635725]",0.7834224881125833,0.7565161976112029,0.7263572549287861,0.020425749999958498,1.133221333000165,1.1537037910002255,1670,193,,,,,
smaller_chunks,10,What structured data formats are introduced in the section?,True,600,100,3,strict,"The structured data formats introduced in the section are CSV, JSON, and XML.","[""chunk_0011"", ""chunk_0009"", ""chunk_0010""]","[0.75752721, 0.74110763, 0.72485062]",0.7575272095002572,0.7411618209165748,0.7248506213610457,0.01969512499999837,1.4565478330000587,1.4763710410002204,1670,77,,,,,
smaller_chunks,11,How does CSV differ from JSON when storing structured data?,True,600,100,3,strict,"CSV differs from JSON in that CSV uses a flat, comma-separated format for structured data, while JSON uses keys and values with objects and arrays. JSON is more structured and easier to parse, though it is less convenient for comments and metadata compared to CSV.  

[chunk_0012] CSV is simple and flat, with commas separating attributes, while JSON uses keys and values for structured data. [chunk_0013] JSON is compatible with programming languages, easy to parse, and suited for data exchange, though it is less convenient for comments and metadata.","[""chunk_0012"", ""chunk_0013"", ""chunk_0011""]","[0.78284556, 0.74011788, 0.71360672]",0.7828455564549542,0.7455233854093114,0.7136067206499115,0.02141620799966404,1.3920356250000623,1.413559666999845,1607,553,,,,,
smaller_chunks,12,Why might an organization transform unstructured data before analysis?,True,600,100,3,strict,"An organization might transform unstructured data into a structured dataset to make systematic analysis possible, as this allows consistent attributes and fields to be compared across records. This transformation aligns with the goal of analysis, as demonstrated in [chunk_0011].","[""chunk_0009"", ""chunk_0010"", ""chunk_0011""]","[0.66857397, 0.64298795, 0.62530789]",0.6685739710236972,0.6456232699826369,0.6253078912312815,0.019803125000180444,1.2341452079999726,1.2540051670002867,1670,279,,,,,
smaller_chunks,13,Why has data become increasingly important across modern industries?,True,600,100,3,strict,"The rise of digital data, computing capacity, and technology has driven the growth of data science, making it increasingly important across modern industries. This expansion has created demand for advanced analysis, enabling data to support decisions and drive innovation in fields like business, healthcare, and entertainment. [chunk_0002]","[""chunk_0002"", ""chunk_0001"", ""chunk_0003""]","[0.7589044, 0.69837019, 0.61130287]",0.7589044008821406,0.6895258195895954,0.611302867212541,0.01905624999972133,1.2950293330000022,1.3142096249998758,1596,340,,,,,
smaller_chunks,14,Does this section explain how cosine similarity is calculated?,False,600,100,3,strict,"The context does not mention cosine similarity or its calculation. Therefore, the answer is:  
**[chunk_0008]**.","[""chunk_0014"", ""chunk_0008"", ""chunk_0000""]","[0.58071471, 0.55774893, 0.53462537]",0.5807147088869622,0.5576963369806051,0.5346253749881771,0.02074845800007097,0.8725414999998975,0.8934092909998981,1637,112,,,,,
smaller_chunks,15,Does this section explain how transformer neural networks generate embeddings?,False,600,100,3,strict,The context does not explain how transformer neural networks generate embeddings.,"[""chunk_0014"", ""chunk_0007"", ""chunk_0008""]","[0.62115681, 0.50723357, 0.50560075]",0.6211568116519508,0.5446637100192949,0.5056007504110381,0.018940957999802777,1.0258654170002046,1.0449136249999356,1704,81,,,,,
medium_chunks,1,What is the difference between a datum and data?,True,800,150,3,strict,"The difference between a datum and data is that a datum refers to a singular given value, observation, or point of reference, while data refers to multiple observations. For example, in a course-evaluation table, a datum might be a single rating, whereas data includes multiple observations. Cite [chunk_0002].","[""chunk_0002"", ""chunk_0001"", ""chunk_0006""]","[0.81018138, 0.69303318, 0.6393965]",0.8101813820009129,0.7142036867228682,0.6393965008103147,0.018312000000150874,1.4232338749998235,1.4416767500001697,2092,310,,,,,
medium_chunks,2,How does the textbook define a dataset?,True,800,150,3,strict,The textbook defines a dataset as a collection of observations or data entities organized so they can be analyzed and interpreted. This is explicitly stated in [chunk_0000].,"[""chunk_0005"", ""chunk_0000"", ""chunk_0006""]","[0.71670566, 0.69468668, 0.69282067]",0.7167056580153928,0.701404334868864,0.6928206690550316,0.02130124999985128,1.2601256660000217,1.2815427499999714,2087,173,,,,,
medium_chunks,3,What is the difference between structured and unstructured data?,True,800,150,3,strict,"Structured data uses a predefined, consistent organization with fixed attributes and tabular structure, while unstructured data lacks such a model and can be in formats like free-form text, images, or videos. For example, unstructured data like free-form web searches can be reduced to a keyword and timestamp field to maintain consistency.  

[chunk_0007][chunk_0006][chunk_0008]","[""chunk_0007"", ""chunk_0006"", ""chunk_0008""]","[0.86016154, 0.74819458, 0.73533745]",0.8601615365272551,0.7812311912819179,0.7353374527306822,0.020174959000087256,1.6417626669999663,1.6620854160000818,2045,380,,,,,
medium_chunks,4,What characteristics make a dataset structured?,True,800,150,3,strict,"Structured datasets have predefined attributes and consistent organization. In a tabular dataset, entities share the same attributes, and each value fits into a table cell. This consistency ensures that entities can be analyzed and interpreted.  

[chunk_0007]  
[chunk_0006]","[""chunk_0007"", ""chunk_0006"", ""chunk_0005""]","[0.78104422, 0.77642941, 0.70129803]",0.7810442224192529,0.752923889675052,0.7012980330690828,0.02146220800023002,1.4164469160000408,1.4380352500002118,2032,275,,,,,
medium_chunks,5,What are examples of unstructured datasets mentioned in the section?,True,800,150,3,strict,"Examples of unstructured datasets mentioned in the section are product reviews on Amazon, posts on Twitter, public Instagram images, short TikTok videos, and free-form web-search phrases.","[""chunk_0007"", ""chunk_0008"", ""chunk_0009""]","[0.75792173, 0.70549857, 0.69314872]",0.7579217313063884,0.7188563399270934,0.693148715888344,0.021265458000016224,0.7945324170000276,0.815930791000028,2108,187,,,,,
medium_chunks,6,What is the difference between an item or entity and an attribute in a dataset?,True,800,150,3,strict,"The difference between an item or entity and an attribute in a dataset is that an entity is the thing or observation being described, while an attribute is one of its properties. For example, in a dataset like a jacket table, an entity (e.g., a jacket) has attributes like temperature and class size, which are its characteristics. This distinction is explicitly stated in [chunk_0006].","[""chunk_0006"", ""chunk_0005"", ""chunk_0007""]","[0.78225293, 0.7499967, 0.70236935]",0.7822529318634964,0.7448729941277071,0.7023693470974335,0.018535624999913125,1.409190999999737,1.4277869580000697,2032,386,,,,,
medium_chunks,7,Why is temperature considered continuous numeric data in the jacket example?,True,800,150,3,strict,"Temperature is considered continuous numeric data in the jacket example because it represents measurable quantities with units, allowing for an infinite set of possible values (e.g., real-number ranges). This classification is explicitly stated in [chunk_0005], which notes that ""ging from low to high are ordinal.""","[""chunk_0005"", ""chunk_0004"", ""chunk_0003""]","[0.72157633, 0.69373701, 0.66679306]",0.721576325103008,0.6940354621028201,0.6667930557626803,0.018714916000135418,1.338191457999983,1.3570344589998058,2232,315,,,,,
medium_chunks,8,Why is the “Needed a Jacket?” column considered categorical nominal data?,True,800,150,3,strict,"The ""Needed a Jacket?"" column is considered categorical nominal data because its values come from the finite labels ""Yes"" and ""No,"" which have no inherent order. The context explicitly states that it is categorical, and there is no mention of ordinal or continuous values. [chunk_0004]","[""chunk_0005"", ""chunk_0004"", ""chunk_0003""]","[0.7207031, 0.70000569, 0.66200217]",0.7207031027249494,0.6942369883885039,0.662002169023925,0.020691207999789185,1.0655222499999581,1.0863819579999472,2232,285,,,,,
medium_chunks,9,Why can structured data be easier to analyze than unstructured data?,True,800,150,3,strict,"Structured data is easier to analyze because its consistent fields and tabular organization allow tools to compare the same attributes across records. For example, in a course-evaluation dataset, each row represents a unique entity (semester offering, instructor, etc.), and columns define attributes (semester, instructor, class size, rating). This structure enables systematic analysis by organizing data into rows and columns, making comparisons and insights more straightforward. [chunk_0008]","[""chunk_0007"", ""chunk_0008"", ""chunk_0006""]","[0.77435642, 0.74269114, 0.70829515]",0.7743564230937661,0.7417809068920641,0.7082951531966563,0.018556750000243483,1.1621178330001385,1.1807261249996372,2045,496,,,,,
medium_chunks,10,What structured data formats are introduced in the section?,True,800,150,3,strict,"The structured data formats introduced in the section are CSV, JSON, and XML. Each is cited as follows:  
- CSV is a simple, flat representation suited for tabular data.  
- JSON is a structured format with consistent fields and a predefined data model.  
- XML is an extensible markup language for structured datasets.  

[chunk_0007] and [chunk_0008] mention these formats, but the question specifically asks for the formats, not the models.","[""chunk_0009"", ""chunk_0007"", ""chunk_0008""]","[0.75339494, 0.73400102, 0.71216628]",0.753394935185582,0.7331874132925602,0.7121662801707525,0.01879341599988038,7.463757541999712,7.482645749999847,2108,443,,,,,
medium_chunks,11,How does CSV differ from JSON when storing structured data?,True,800,150,3,strict,"CSV is simpler and has issues with metadata and special characters, while JSON is more structured with tags and better metadata handling.  

[chunk_0010]  
[chunk_0011]","[""chunk_0010"", ""chunk_0009"", ""chunk_0011""]","[0.78432364, 0.74681841, 0.66417827]",0.7843236356674506,0.7317734366580563,0.6641782654961337,0.021992041999965295,1.306335708000006,1.328512000000046,2105,168,,,,,
medium_chunks,12,Why might an organization transform unstructured data before analysis?,True,800,150,3,strict,"An organization might transform unstructured data before analysis to make systematic analysis possible. This transformation involves organizing unstructured data into a structured format, such as a table with consistent attributes, which allows tools to compare the same attributes across records. For example, free-form searches can be reduced to a keyword and timestamp, ensuring each record has the same two attributes. This process aligns with the structured data model that facilitates analysis, as discussed in [chunk_0008].","[""chunk_0007"", ""chunk_0008"", ""chunk_0006""]","[0.66622909, 0.64938996, 0.60322381]",0.6662290880639165,0.6396142873417158,0.6032238095058924,0.020915417000196612,1.4440733750002437,1.4651193750000857,2045,530,,,,,
medium_chunks,13,Why has data become increasingly important across modern industries?,True,800,150,3,strict,"The rise of digital data, computing capacity, and technology has accelerated data science's growth, making it essential across modern industries. [chunk_0001]","[""chunk_0001"", ""chunk_0002"", ""chunk_0008""]","[0.78580148, 0.64723316, 0.61580405]",0.7858014800336146,0.6829462303360062,0.6158040498992368,0.021568708999893715,1.2993087920003745,1.3210660409999946,2131,158,,,,,
medium_chunks,14,Does this section explain how cosine similarity is calculated?,False,800,150,3,strict,The context does not contain information about cosine similarity or transformer neural networks.,"[""chunk_0011"", ""chunk_0000"", ""chunk_0006""]","[0.60709798, 0.54994506, 0.52621289]",0.6070979760319809,0.5610853092327801,0.5262128884684919,0.02045491699982449,1.0816660420000517,1.1021791250000206,2017,96,,,,,
medium_chunks,15,Does this section explain how transformer neural networks generate embeddings?,False,800,150,3,strict,The context does not mention anything about transformer neural networks or their role in generating embeddings.,"[""chunk_0011"", ""chunk_0000"", ""chunk_0006""]","[0.63920069, 0.50358308, 0.49862604]",0.6392006854576568,0.5471365998619385,0.49862603719186027,0.019676667000112502,0.758101040999918,0.7778967500003091,2017,111,,,,,
larger_chunks,1,What is the difference between a datum and data?,True,1400,250,3,strict,"The difference between a datum and data is that a datum refers to a singular given value, observation, or point of reference, while data refers to multiple observations. This distinction is explicitly stated in [chunk_0001].","[""chunk_0001"", ""chunk_0003"", ""chunk_0000""]","[0.73738374, 0.66775936, 0.64813822]",0.7373837393231357,0.6844271069704639,0.6481382173300207,0.018916750000244065,1.0309749580001153,1.0500061669999923,4029,224,,,,,
larger_chunks,2,How does the textbook define a dataset?,True,1400,250,3,strict,"The textbook defines a dataset as a collection of observations or data entities organized for analysis and interpretation. It is structured because entities share the same attributes, and values fit neatly into rows and columns. For example, a course-evaluation table has attributes like semester, instructor, class size, and rating, which are consistent across rows. [chunk_0003]","[""chunk_0003"", ""chunk_0000"", ""chunk_0001""]","[0.75654565, 0.69539531, 0.65321971]",0.7565456530319881,0.7017202255121062,0.6532197140562391,0.02051120800024364,1.5352396670000417,1.5558714580001833,4029,380,,,,,
larger_chunks,3,What is the difference between structured and unstructured data?,True,1400,250,3,strict,"Structured data has a predefined schema with consistent fields and a clear model, allowing for systematic analysis. Unstructured data lacks a fixed schema and can include formats like free-form text, images, or audio. For example, a structured dataset like a jacket table uses consistent attributes (e.g., Date, Temperature, Needed a Jacket), while an unstructured dataset like free-form text or images lacks such consistency.  

[chunk_0003]  
[chunk_0001]","[""chunk_0004"", ""chunk_0003"", ""chunk_0001""]","[0.74121289, 0.70997475, 0.63203228]",0.7412128858211581,0.6944066383493644,0.6320322759244006,0.020949374999872816,1.5155777909999415,1.5366688330000216,3948,457,,,,,
larger_chunks,4,What characteristics make a dataset structured?,True,1400,250,3,strict,"Structured datasets have consistent fields and tabular organization, as well as entities with the same attributes and values that fit neatly into rows and columns.  

[chunk_0002]  
[chunk_0003]","[""chunk_0003"", ""chunk_0004"", ""chunk_0002""]","[0.77516039, 0.71632977, 0.63786431]",0.7751603937165582,0.709784823128036,0.6378643062017654,0.020689375000074506,1.4677690829998937,1.4886033750003662,4030,194,,,,,
larger_chunks,5,What are examples of unstructured datasets mentioned in the section?,True,1400,250,3,strict,"The examples of unstructured datasets mentioned in the section are free-form text, images, video, and audio.","[""chunk_0004"", ""chunk_0003"", ""chunk_0000""]","[0.72372914, 0.71747493, 0.67085534]",0.7237291377115134,0.7040198028583079,0.6708553409797374,0.02043016700008593,1.0333045840002342,1.0538601669995842,4074,108,,,,,
larger_chunks,6,What is the difference between an item or entity and an attribute in a dataset?,True,1400,250,3,strict,"The difference between an item or entity and an attribute in a dataset is that an entity is the thing being described, while an attribute is a specific characteristic shared by the entities. For example, in the jacket dataset, the entity ""jacket"" has attributes like ""temperature"" (a numeric value) and ""Needed a Jacket?"" (a categorical value). This distinction is emphasized in the context, where entities have the same attributes, and attributes are features.  

[chunk_0003]","[""chunk_0003"", ""chunk_0002"", ""chunk_0006""]","[0.82746453, 0.67431181, 0.64801691]",0.8274645323425935,0.7165977497850112,0.648016905184381,0.018839709000076255,1.794304000000011,1.8133177499998965,3019,477,,,,,
larger_chunks,7,Why is temperature considered continuous numeric data in the jacket example?,True,1400,250,3,strict,"Temperature is considered continuous numeric data in the jacket example because it is a thermometer measurement with units, which allows for any real-number value within the measurement context (as stated in [chunk_0002]).","[""chunk_0002"", ""chunk_0001"", ""chunk_0003""]","[0.68534504, 0.60880085, 0.55018647]",0.6853450422794674,0.6147774545544181,0.550186467518777,0.021558458000072278,1.2042088749999493,1.2258286250003039,3985,222,,,,,
larger_chunks,8,Why is the “Needed a Jacket?” column considered categorical nominal data?,True,1400,250,3,strict,"The ""Needed a Jacket?"" column is considered categorical nominal data because its values come from the finite labels ""Yes"" and ""No,"" and those labels have no inherent natural ordering. This classification aligns with the definition of categorical data, which does not require measurement and has no inherent order, while nominal categories do.","[""chunk_0002"", ""chunk_0003"", ""chunk_0001""]","[0.7131102, 0.66615826, 0.62136397]",0.7131102013974007,0.666877476699972,0.6213639653030932,0.01791983400016761,1.1947666670002945,1.2127437500002998,3985,342,,,,,
larger_chunks,9,Why can structured data be easier to analyze than unstructured data?,True,1400,250,3,strict,"Structured data is easier to analyze than unstructured data because it has a fixed schema with consistent fields and tabular organization, allowing tools to compare attributes across records. For example, each attribute (like semester, instructor, class size, or rating) fits neatly into rows and columns, enabling systematic analysis. This structure facilitates comparison and reduces ambiguity, whereas unstructured data lacks a predefined schema, making analysis more complex. [chunk_0003][chunk_0004]","[""chunk_0004"", ""chunk_0003"", ""chunk_0001""]","[0.730099, 0.66117273, 0.62540743]",0.7300989962219473,0.67222638699183,0.6254074298594317,0.020340125000075204,1.041406208999888,1.06186870800002,3948,504,,,,,
larger_chunks,10,What structured data formats are introduced in the section?,True,1400,250,3,strict,"Structured data formats introduced in the section are CSV, JSON, and XML.  

[chunk_0003]  
Structured data formats include CSV, JSON, and XML.  

[chunk_0000]  
The section introduces these three common plain-text formats for structured datasets.","[""chunk_0004"", ""chunk_0003"", ""chunk_0000""]","[0.73541933, 0.68347445, 0.67878565]",0.7354193284535341,0.6992264771743749,0.6787856514476744,0.01980883400028688,1.0347044159998404,1.0546616249998806,4074,247,,,,,
