case_id,category,condition,question,reference_answer,answerable,answer,latency_seconds,lexical_coverage,automated_pass,retrieval_hit,retrieved_chunk_ids,retrieved_scores,retrieved_context,error_category,error
q06,comparison,no_rag,What is the difference between an entity and an attribute in a dataset?,An entity is one observation being described; an attribute is a feature or characteristic used to describe it.,True,"In data analysis, entities are the things themselves (e.g., people, places), while attributes describe characteristics of those things (e.g., name, age).",0.505241,0.5,False,,[],[],,missing_expected_concepts,
q06,comparison,rag,What is the difference between an entity and an attribute in a dataset?,An entity is one observation being described; an attribute is a feature or characteristic used to describe it.,True,"In a dataset, an entity represents the thing or observation being described, while an attribute describes one property used to describe that entity.",0.569753,1.0,True,True,"[4, 5, 8]","[0.802688, 0.730289, 0.643173]","[Chunk 4]
thermometer measurement with units. It is continuous because a temperature reading can take any real-number value within the measurement context, giving an effectively infinite set of possible values. “Needed a Jacket?” is categorical because its values come from the finite labels Yes and No. It is nominal because those labels have no natural ranking.
Datasets, entities, and attributes
A dataset is a collection of observations or data entities organized so they can be analyzed and interpreted. In a tabular dataset, a row commonly represents a unique entity, item, entry, or instance. A column represents an attribute, feature, variable, or characteristic shared by the entities. An entity is therefore the thing or observation being described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating.

[Chunk 5]
ing described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating. The values differ by entity, while each entity follows the same set of attributes.
Structured and unstructured data
A structured dataset uses a predefined, consistent organization. Its entities have the same attributes, fields and relationships are clearly defined, and values can usually fit into rows and columns. A jacket table with Date, Temperature, and Needed a Jacket is structured because each daily item has those same three attributes and every value fits a table cell.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio.

[Chunk 8]
paired values store the corresponding observations. JSON is compatible with many programming languages, is relatively easy to parse, and is well suited to exchanging data between a user and a server. Compared with CSV’s flat rows and comma-separated fields, JSON can express nested object and array structure. The section notes that JSON is less convenient for comments and metadata.
XML uses named opening and closing tags to represent items and their attributes. Its tagged structure is verbose, but it supports metadata and hierarchical structures. XML can also accompany image datasets as annotation files.
Section boundaries
This section explains definitions and examples for data, data types, datasets, structure, entities, attributes, CSV, JSON, and XML. It does not explain how cosine similarity is calculated. It also does not explain how transformer neural networks generate embeddings. Those topics require material outside this section.",pass,
q07,reasoning,no_rag,Why is temperature considered continuous numeric data in the jacket example?,"Temperature is a measured quantity with numeric values and units, and a reading can take any real-number value in the measurement context.",True,"Temperature is considered continuous numeric data because it can take on any value within a range (e.g., -20°C to +50°C). Unlike discrete values like ""10 degrees,"" temperature has an infinite number of possible readings.",0.616119,1.0,True,,[],[],,pass,
q07,reasoning,rag,Why is temperature considered continuous numeric data in the jacket example?,"Temperature is a measured quantity with numeric values and units, and a reading can take any real-number value in the measurement context.",True,"In the jacket dataset, temperature is a thermometer measurement with units. It’s continuous because a temperature reading can take any real-number value within the measurement context, giving an effectively infinite set of possible values.",0.664967,1.0,True,True,"[3, 4, 2]","[0.692676, 0.685389, 0.630805]","[Chunk 3]
ibes nonnumeric characteristics or subjective material. Descriptions, interviews, open-ended responses, photographs, and social-media posts are examples.
Numeric data represents measurable quantities. Continuous numeric values may be selected from an infinite set of possible values, while discrete values follow a precision or restriction that leaves a finite set in the relevant context. Context can affect this classification.
Categorical data chooses values from a finite set of labels or symbols and need not measure an amount. Nominal categories do not have an inherent order. Ordinal categories do have an ordering. Instructor identifiers are nominal; recommendation ratings ranging from low to high are ordinal.
Jacket example
In the jacket dataset, temperature is numeric because it is a thermometer measurement with units. It is continuous because a temperature reading can take any real-number value within the measurement context, giving an effectively infinite set of possible values.

[Chunk 4]
thermometer measurement with units. It is continuous because a temperature reading can take any real-number value within the measurement context, giving an effectively infinite set of possible values. “Needed a Jacket?” is categorical because its values come from the finite labels Yes and No. It is nominal because those labels have no natural ranking.
Datasets, entities, and attributes
A dataset is a collection of observations or data entities organized so they can be analyzed and interpreted. In a tabular dataset, a row commonly represents a unique entity, item, entry, or instance. A column represents an attribute, feature, variable, or characteristic shared by the entities. An entity is therefore the thing or observation being described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating.

[Chunk 2]
ion or higher-level insight.
For example, a course-evaluation table can contain semester, instructor, class size, and rating. A single rating does not by itself decide whether a student should enroll. Looking across the observations and their attributes can produce information useful for that decision. Likewise, several days of temperatures and yes-or-no jacket choices are observations; analyzing them may inform whether to wear a jacket today.
Quantitative, qualitative, numeric, and categorical data
Quantitative data expresses quantities, generally with numbers, and can be studied statistically. Examples include height, weight, temperature, heart rate, and sales. Qualitative data describes nonnumeric characteristics or subjective material. Descriptions, interviews, open-ended responses, photographs, and social-media posts are examples.
Numeric data represents measurable quantities.",pass,
q08,reasoning,no_rag,Why is the 'Needed a Jacket?' column categorical nominal data?,"Its values come from the finite labels Yes and No, and those labels have no inherent order.",True,"It's categorical nominal data because each value in the column represents a distinct category or group without any inherent order or ranking.  Essentially, it’s just labels of different things.",0.527242,0.5,False,,[],[],,missing_expected_concepts,
q08,reasoning,rag,Why is the 'Needed a Jacket?' column categorical nominal data?,"Its values come from the finite labels Yes and No, and those labels have no inherent order.",True,The context states that “Needed a Jacket?” is categorical because its values come from the finite labels Yes and No.,0.544018,0.5,False,False,"[4, 3, 5]","[0.693946, 0.638664, 0.617809]","[Chunk 4]
thermometer measurement with units. It is continuous because a temperature reading can take any real-number value within the measurement context, giving an effectively infinite set of possible values. “Needed a Jacket?” is categorical because its values come from the finite labels Yes and No. It is nominal because those labels have no natural ranking.
Datasets, entities, and attributes
A dataset is a collection of observations or data entities organized so they can be analyzed and interpreted. In a tabular dataset, a row commonly represents a unique entity, item, entry, or instance. A column represents an attribute, feature, variable, or characteristic shared by the entities. An entity is therefore the thing or observation being described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating.

[Chunk 3]
ibes nonnumeric characteristics or subjective material. Descriptions, interviews, open-ended responses, photographs, and social-media posts are examples.
Numeric data represents measurable quantities. Continuous numeric values may be selected from an infinite set of possible values, while discrete values follow a precision or restriction that leaves a finite set in the relevant context. Context can affect this classification.
Categorical data chooses values from a finite set of labels or symbols and need not measure an amount. Nominal categories do not have an inherent order. Ordinal categories do have an ordering. Instructor identifiers are nominal; recommendation ratings ranging from low to high are ordinal.
Jacket example
In the jacket dataset, temperature is numeric because it is a thermometer measurement with units. It is continuous because a temperature reading can take any real-number value within the measurement context, giving an effectively infinite set of possible values.

[Chunk 5]
ing described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating. The values differ by entity, while each entity follows the same set of attributes.
Structured and unstructured data
A structured dataset uses a predefined, consistent organization. Its entities have the same attributes, fields and relationships are clearly defined, and values can usually fit into rows and columns. A jacket table with Date, Temperature, and Needed a Jacket is structured because each daily item has those same three attributes and every value fits a table cell.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio.",retrieval_miss,
q09,reasoning,no_rag,Why can structured data be easier to analyze than unstructured data?,Consistent fields and tabular organization make the same attributes easier to compare across records.,True,"Structured data is generally easier to analyze because it has a predefined format and schema, making it straightforward for tools and algorithms to process.",0.457985,0.0,False,,[],[],,missing_expected_concepts,
q09,reasoning,rag,Why can structured data be easier to analyze than unstructured data?,Consistent fields and tabular organization make the same attributes easier to compare across records.,True,Structured data allows tools to compare attributes across records because its consistent fields and tabular organization let them identify the same values in rows and columns.,0.577823,1.0,True,True,"[6, 5, 7]","[0.801938, 0.735039, 0.65613]","[Chunk 6]
.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio. Examples discussed in the section include product reviews on Amazon, posts on Twitter, public Instagram images, short TikTok videos, and free-form web-search phrases.
Structured data is often easier to analyze because its consistent fields and tabular organization let tools compare the same attributes across records. Organizations may process unstructured material into a structured dataset to make systematic analysis possible. For example, free-form searches could be reduced to a short keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats

[Chunk 5]
ing described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating. The values differ by entity, while each entity follows the same set of attributes.
Structured and unstructured data
A structured dataset uses a predefined, consistent organization. Its entities have the same attributes, fields and relationships are clearly defined, and values can usually fit into rows and columns. A jacket table with Date, Temperature, and Needed a Jacket is structured because each daily item has those same three attributes and every value fits a table cell.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio.

[Chunk 7]
t keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats
The section introduces three common plain-text formats for structured datasets: comma-separated values (CSV), JavaScript Object Notation (JSON), and Extensible Markup Language (XML).
CSV is a simple, flat representation suited to tabular data. Each item is stored on one line, and commas separate its attribute values. Spreadsheet programs can show the file as a table. CSV is simple, but metadata is difficult to include and special characters can complicate parsing.
JSON represents information through keys and values, objects, and arrays. Keys can name attributes, while their paired values store the corresponding observations. JSON is compatible with many programming languages, is relatively easy to parse, and is well suited to exchanging data between a user and a server.",pass,
q10,recall,no_rag,What structured data formats are introduced in the section?,"The section introduces CSV, JSON, and XML.",True,The section discusses JSON and XML.,0.332646,0.6667,False,,[],[],,missing_expected_concepts,
q10,recall,rag,What structured data formats are introduced in the section?,"The section introduces CSV, JSON, and XML.",True,"CSV, JSON, and Extensible Markup Language (XML)",0.479949,1.0,True,True,"[7, 6, 5]","[0.75434, 0.733451, 0.709145]","[Chunk 7]
t keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats
The section introduces three common plain-text formats for structured datasets: comma-separated values (CSV), JavaScript Object Notation (JSON), and Extensible Markup Language (XML).
CSV is a simple, flat representation suited to tabular data. Each item is stored on one line, and commas separate its attribute values. Spreadsheet programs can show the file as a table. CSV is simple, but metadata is difficult to include and special characters can complicate parsing.
JSON represents information through keys and values, objects, and arrays. Keys can name attributes, while their paired values store the corresponding observations. JSON is compatible with many programming languages, is relatively easy to parse, and is well suited to exchanging data between a user and a server.

[Chunk 6]
.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio. Examples discussed in the section include product reviews on Amazon, posts on Twitter, public Instagram images, short TikTok videos, and free-form web-search phrases.
Structured data is often easier to analyze because its consistent fields and tabular organization let tools compare the same attributes across records. Organizations may process unstructured material into a structured dataset to make systematic analysis possible. For example, free-form searches could be reduced to a short keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats

[Chunk 5]
ing described; an attribute is one property used to describe it.
A course-evaluation dataset might have one row for each semester offering and columns for semester, instructor, class size, and rating. The values differ by entity, while each entity follows the same set of attributes.
Structured and unstructured data
A structured dataset uses a predefined, consistent organization. Its entities have the same attributes, fields and relationships are clearly defined, and values can usually fit into rows and columns. A jacket table with Date, Temperature, and Needed a Jacket is structured because each daily item has those same three attributes and every value fits a table cell.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio.",pass,
q11,comparison,no_rag,How does CSV differ from JSON when storing structured data?,CSV stores flat comma-separated rows; JSON uses keys and values in objects and arrays and can represent nested structures.,True,"CSV (Comma Separated Values) is simpler for tabular data and uses commas to separate values; JSON offers more flexibility with nesting and complex structures.  Essentially, CSV prioritizes simplicity while JSON allows for richer data representation.",0.575554,0.5,False,,[],[],,missing_expected_concepts,
q11,comparison,rag,How does CSV differ from JSON when storing structured data?,CSV stores flat comma-separated rows; JSON uses keys and values in objects and arrays and can represent nested structures.,True,"CSV is a simple, flat representation suited to tabular data. Each item is stored on one line, and commas separate its attribute values. Spreadsheet programs can show the file as a table. CSV is simple, but metadata is difficult to include and special characters can complicate parsing.

JSON represents information through keys and values, objects, and arrays. Keys can name attributes, while their paired values store the corresponding observations. JSON is compatible with many programming languages, is relatively easy to parse, and is well suited to exchanging data between a user and a server.",1.085089,0.75,True,True,"[7, 8, 6]","[0.755815, 0.741823, 0.633716]","[Chunk 7]
t keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats
The section introduces three common plain-text formats for structured datasets: comma-separated values (CSV), JavaScript Object Notation (JSON), and Extensible Markup Language (XML).
CSV is a simple, flat representation suited to tabular data. Each item is stored on one line, and commas separate its attribute values. Spreadsheet programs can show the file as a table. CSV is simple, but metadata is difficult to include and special characters can complicate parsing.
JSON represents information through keys and values, objects, and arrays. Keys can name attributes, while their paired values store the corresponding observations. JSON is compatible with many programming languages, is relatively easy to parse, and is well suited to exchanging data between a user and a server.

[Chunk 8]
paired values store the corresponding observations. JSON is compatible with many programming languages, is relatively easy to parse, and is well suited to exchanging data between a user and a server. Compared with CSV’s flat rows and comma-separated fields, JSON can express nested object and array structure. The section notes that JSON is less convenient for comments and metadata.
XML uses named opening and closing tags to represent items and their attributes. Its tagged structure is verbose, but it supports metadata and hierarchical structures. XML can also accompany image datasets as annotation files.
Section boundaries
This section explains definitions and examples for data, data types, datasets, structure, entities, attributes, CSV, JSON, and XML. It does not explain how cosine similarity is calculated. It also does not explain how transformer neural networks generate embeddings. Those topics require material outside this section.

[Chunk 6]
.
An unstructured dataset lacks a fixed schema or predefined data model. Its contents do not fit neatly into consistent rows and columns. Common forms include free-form text, images, video, and audio. Examples discussed in the section include product reviews on Amazon, posts on Twitter, public Instagram images, short TikTok videos, and free-form web-search phrases.
Structured data is often easier to analyze because its consistent fields and tabular organization let tools compare the same attributes across records. Organizations may process unstructured material into a structured dataset to make systematic analysis possible. For example, free-form searches could be reduced to a short keyword field plus a timestamp, giving every record the same two attributes. That transformation can lose nuance, so the processing choice should match the analysis goal.
Structured dataset formats",pass,
q12,reasoning,no_rag,Why might an organization transform unstructured data before analysis?,It may convert the content into consistent fields or records so it can be analyzed systematically.,True,To improve insights and decision-making from raw information.,0.364358,0.0,False,,[],[],,missing_expected_concepts,
